ID,Short Name,Long Name,Type,Internal Link,External Link,Summary,Read Time,Requires an Account,       Demountable Design,       Designing for Mixed-Use,       Modular Design,       Designing for Adaptive Reuse,       Maximizing Space Utilization,       Designing for Material Optimization,       3D Printing Cradle to Cradle Material,       Prefabrication,       Selling Renewable Energy,       Internet of Things / BIM for Operations,       Space Utilization,       Existing Structure,       Adaptive Reuse of Existing Building,       Harvesting Grey Water,       Harvesting Runoff,       Natural Lighting and Ventilation,       Upcycling,       Downcycling,       Salvaged Materials from Demolitions,       Open Source Design,       Material Passports,       Storage and Distribution Facilities,       Connecting Salvage Supply and Demand,       Remanufacturing Salvaged Materials,       Capturing Waste Material from Other Industries,       Brownfield Remediation,       Take-Back Services,       Leased Materials,       Product as a Services (PaaS),       Optimizing Material Transportation,,
1,Madaster,,Resource,,Home - Madaster,This is placeholder text for the summary.  This is placeholder text for the summary.  This is placeholder text for the summary.  This is placeholder text for the summary.  This is placeholder text for the summary.  ,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,
2,Houseful,,Resource,,Houseful,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
3,Knowledge Hub - Circle Lab,,Resource,,Knowledge Hub | Circle Lab (circle-lab.com),This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,
4,Material Passports - BAMB,,Learn,,Material Passports and Circular Economy - BAMB (bamb2020.eu),This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,2 min,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,
5,Old Into New,Old into new: Recycled bricks form facade of Copenhagen housing project,example,,Old into new: Recycled bricks form facade of Copenhagen housing project (architectsjournal.co.uk),This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,10 min,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,
6,Urban Mining,"Urban Mining and Circular construction - what, why and how it works",learn,,"Urban mining and circular construction � what, why and how it works (metabolic.nl)",This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,10 min,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
7,Kalundborg Eco-Industrial Park,,example,,Kalundborg Symbiosis - The World's first industrial symbiosis,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,
8,re[TURN] ShawContract,,example,,re[TURN] | ShawContract,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
9,Leasing Materials,,learn,,Leasing: The New Circular Ownership Model - MaterialTrader.com,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
10,Phillips Innovation,Philips' transition from linear to Circular Economy,example,,Philips� transition from linear to Circular Economy | Philips Innovation Services,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,
11,Quay Quarter Tower,,example,,Quay quarter - premium tower in sydney | 3xn architects | 3XN,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,TRUE,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,TRUE,,
12,Eatery Designed for Disassembly,A Waterfront Eatery in Demark is Designed for Disassembly,example,,https://www.metropolismag.com/architecture/braunstein-taphouse-designed-for-disassembly/?utm_campaign=MET%20Sustainability%20Newsletter&utm_medium=email&_hsmi=112756388&_hsenc=p2ANqtz-9umoImmTccPJd9V7RLbMl1OSnCPZqI9_-lzku1Kdar68vKKEQkKJJk2pR0Cy1ebrgaTfobRGtHWDlq1OioogvzJQvYNw&utm_content=112756388&utm_source=hs_email,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Circle House,,example,,3XN,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Modular Architecture,Modular Architecture: When Beauty and Efficiency Meet,learn,,Modular Architecture: When Beauty and Efficiency Meet - Arch2O.com,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Prefab and Modularity,The Potential of Prefab: How Modular Construction Can Be Green,learn,,The Potential of Prefab: How Modular Construction Can Be Green | BuildingGreen,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,TRUE,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,
16,Space Planning,,Resource,,Space Planning - Serraview,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
17,Efficient Practices,Efficient Design and Building Practices Can Effectively Reduce Your Waste Stream and Boost Your Bottom Line,learn,,Efficient Design and Building Practices Can Effectively Reduce Your Waste Stream and Boost Your Bottom Line | Architect Magazine,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3D-printed Community,The first 3D-printed housing community in the US is being built in the California Desert,example,,The first 3D-printed housing community in the US is being built in the California desert - CNN,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
19,MEETS,MEETS: A Win-Win Path to Deep Energy Efficiency,Example,,MEETS: A Win-Win Path to Deep Energy Efficiency - YouTube,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,
20,Iot,IoT and its uses in buildings,learn,,IoT and its uses in buildings (smartbuildingsmagazine.com),This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,5 min,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,
21,Adaptive Reuse,20 Creative Adaptive Reuse Projects,example,,20 Creative Adaptive Reuse Projects | ArchDaily,This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary. This is placeholder text for the summary.,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,
